,Data
99,"Proclamation on African-American Music Appreciation Month, 2020"
100,"Proclamation on Great Outdoors Month, 2020"
101,"Proclamation on National Ocean Month, 2020"
102,"Proclamation on National Homeownership Month, 2020"
103,Proclamation on the Suspension of Entry as Nonimmigrants of Certain Students and Researchers from the People’s Republic of China
104,Executive Order on Preventing Online Censorship
105,President Donald J. Trump Announces Intent to Nominate and Appoint the Following Individuals to Key Administration Posts
106,President Donald J. Trump Announces Judicial Nominees
107,President Donald J. Trump Announces Intent to Nominate and Appoint Individuals to Key Administration Posts
108,"President, Amendment to Proclamation by the President of May 24, 2020"
109,Proclamation on Suspension of Entry as Immigrants and Nonimmigrants of Certain Additional Persons Who Pose a Risk of Transmitting Novel Coronavirus
110,Proclamation on Honoring the Victims of the Novel Coronavirus Pandemic
111,"Proclamation on National Maritime Day, 2020"
112,"Proclamation on Prayer for Peace, Memorial Day, 2020"
113,Ten Nominations Sent to the Senate
114,President Donald J. Trump Announces Appointments for the Executive Office of the President
115,President Donald J. Trump Announces Judicial Nominee
116,Memorandum on Providing Continued Federal Support for Governors’ Use of the National Guard to Respond to COVID-19 and to Facilitate Economic Recovery
117,Executive Order on Regulatory Relief to Support Economic Recovery
118,Seven Nominations and One Withdrawal Sent to the Senate
119,President Donald J. Trump Announces Intent to Nominate Individuals to Key Administration Posts
120,"Proclamation on World Trade Week, 2020"
121,"Proclamation on National Safe Boating Week, 2020"
122,President Donald J. Trump Announces Intent to Nominate Individuals to Key Administration Posts
123,"Proclamation on Emergency Medical Services Week, 2020"
124,EO on the Establishment of the Forced Labor Enforcement Task Force Under Section 741 of the United States-Mexico-Canada Agreement Implementation Act
125,"Proclamation on Armed Forces Day, 2020"
126,Three Nominations Sent to the Senate
127,EO on Delegating Authority Under the DPA to the CEO of the U.S. International Development Finance Corporation to Respond to the COVID-19 Outbreak
128,President Donald J. Trump Announces Judicial Nominees
129,Memorandum on the Delegation of Functions and Authorities under Section 1260J of the National Defense Authorization Act for Fiscal Year 2020
130,President Donald J. Trump Announces Intent to Nominate and Appoint Individuals to Key Administration Posts
131,"Proclamation on National Charter Schools Week, 2020"
132,Proclamation on National Defense Transportation Day and National Transportation Week
133,"Proclamation on Peace Officers Memorial Day and Police Week, 2020"
134,"Proclamation on Mother’s Day, 2020"
135,Memo on Providing Continued Federal Support for Governors’ Use of the National Guard to Respondto Covid-19 and to Facilitate Economic Recovery
136,"Proclamation on Military Spouse Day, 2020"
137,Executive Order on Promoting American Seafood Competitiveness and Economic Growth
138,President Donald J. Trump Announces Judicial Nominee
139,"Proclamation on National Day of Prayer, 2020"
140,President Donald J. Trump Announces Intent to Nominate and Appoint Individuals to Key Administration Posts
141,President Donald J. Trump Announces Judicial Nominees
142,One Nomination Sent to the Senate
143,"Proclamation on National Nurses Day, 2020"
144,"Proclamation on Missing and Murdered American Indians and Alaska Natives Awareness Day, 2020"
145,President Donald J. Trump Announces Intent to Nominate Individuals to Key Administration Posts
146,Thirty Nominations and One Withdrawal Sent to the Senate
147,"Proclamation on Public Service Recognition Week, 2020"
148,President Donald J. Trump Announces Intent to Nominate and Appoint Individuals to Key Administration Posts
149,"Proclamation on National Hurricane Preparedness Week, 2020"
150,Executive Order on Securing the United States Bulk-Power System
151,"Proclamation on National Mental Health Awareness Month, 2020"
152,"Proclamation on Older Americans Month, 2020"
153,"Proclamation on National Physical Fitness and Sports Month, 2020"
154,"Proclamation on Loyalty Day, 2020"
155,"Proclamation on National Foster Care Month, 2020"
156,Executive Order on Ordering the Selected Reserve of the Armed Forces to Active Duty
157,"Proclamation on Law Day, U.S.A., 2020"
158,"Proclamation on Jewish American Heritage Month, 2020"
159,"Proclamation on Asian American and Pacific Islander Heritage Month, 2020"
160,President Donald J. Trump Announces Judicial Nominees
161,Executive Order on Delegating Authority Under the DPA with Respect to Food Supply Chain Resources During the National Emergency Caused by the Outbreak of COVID-19
162,Memorandum on Authorizing the Crisis Counseling Assistance and Training Program for Major Disaster Declarations Related to Coronavirus Disease 2019
163,Executive Order on the Establishment of the Interagency Labor Committee for Monitoring and Enforcement Under Section 711 of the USMCA Implementation Act
164,Memorandum on Providing Continued Federal Support for Governors’ Use of the National Guard to Respond to COVID-19 and to Facilitate Economic Recovery
165,"Proclamation on World Intellectual Property Day, 2020"
166,President Donald J. Trump Announces Intent to Nominate and Appoint Individuals to Key Administration Posts
167,Proclamation Suspending Entry of Immigrants Who Present Risk to the U.S. Labor Market During the Economic Recovery Following the COVID-19 Outbreak
168,President Donald J. Trump Announces Appointments for the Executive Office of the President
169,Memorandum on Providing Continued Federal Support for Governors’ Use of the National Guard to Respond to COVID-19 and to Facilitate Economic Recovery
170,President Donald J. Trump Announces Intent to Nominate and Appoint Individuals to Key Administration Posts
171,Executive Order on National Emergency Authority to Temporarily Extend Deadlines for Certain Estimated Payments
172,"Proclamation on National Crime Victims’ Rights Week, 2020"
173,"Proclamation on National Park Week, 2020"
174,"Proclamation on National Volunteer Week, 2020"
175,"Proclamation on Days Of Remembrance Of Victims Of The Holocaust, 2020"
176,Memorandum on the Delegation of Authorities under the NDAA for FY 2020 and the Eastern Mediterranean Security and Energy Partnership Act of 2019
177,Executive Order on Providing an Order of Succession within the Department of the Interior
178,Memorandum on Providing Federal Support for Governors’ Use of the National Guard to Respond to COVID-19
179,"Proclamation on Pan American Day and Pan American Week, 2020"
180,Memorandum on Providing COVID-19 Assistance to the Italian Republic
181,Memorandum on Authorizing the Exercise of Authority under Public Law 85-804
182,Memorandum on Visa Sanctions
183,President Donald J. Trump Announces Intent to Appoint the Following Individuals to Key Administration Posts
184,President Donald J. Trump Announces Intent to Nominate and Appoint the Following Individuals to Key Administration Posts
185,"Proclamation on National Former Prisoner of War Recognition Day, 2020"
186,Memorandum on Providing Federal Support for Governors’ Use of the National Guard to Respond to COVID-19
187,Executive Order on Encouraging International Support for the Recovery and Use of Space Resources
188,Five Nominations Sent to the Senate
